,RSSI,distance,dist_<_1m
0,-25,0.0,1
1,-25,0.0,1
2,-25,0.0,1
3,-25,0.0,1
4,-25,0.0,1
5,-25,0.0,1
6,-25,0.0,1
7,-25,0.0,1
8,-29,0.0,1
9,-25,0.0,1
10,-25,0.0,1
11,-25,0.0,1
12,-25,0.0,1
13,-25,0.0,1
14,-25,0.0,1
15,-25,0.0,1
16,-25,0.0,1
17,-25,0.0,1
18,-29,0.0,1
19,-25,0.0,1
20,-25,0.0,1
21,-25,0.0,1
22,-25,0.0,1
23,-25,0.0,1
24,-25,0.0,1
25,-25,0.0,1
26,-29,0.0,1
27,-29,0.0,1
28,-25,0.0,1
29,-25,0.0,1
30,-25,0.0,1
31,-25,0.0,1
32,-25,0.0,1
33,-25,0.0,1
34,-25,0.0,1
35,-25,0.0,1
36,-25,0.0,1
37,-25,0.0,1
38,-30,0.0,1
39,-25,0.0,1
40,-25,0.0,1
41,-25,0.0,1
42,-25,0.0,1
43,-25,0.0,1
44,-25,0.0,1
45,-25,0.0,1
46,-25,0.0,1
47,-29,0.0,1
48,-29,0.0,1
49,-29,0.0,1
50,-25,0.0,1
51,-25,0.0,1
52,-25,0.0,1
53,-25,0.0,1
54,-25,0.0,1
55,-25,0.0,1
56,-25,0.0,1
57,-25,0.0,1
58,-25,0.0,1
59,-25,0.0,1
60,-25,0.0,1
61,-25,0.0,1
62,-25,0.0,1
63,-29,0.0,1
64,-29,0.0,1
65,-25,0.0,1
66,-25,0.0,1
67,-25,0.0,1
68,-25,0.0,1
69,-25,0.0,1
70,-25,0.0,1
71,-25,0.0,1
72,-25,0.0,1
73,-25,0.0,1
74,-25,0.0,1
75,-25,0.0,1
76,-25,0.0,1
77,-25,0.0,1
78,-29,0.0,1
79,-25,0.0,1
80,-25,0.0,1
81,-25,0.0,1
82,-25,0.0,1
83,-25,0.0,1
84,-25,0.0,1
85,-25,0.0,1
86,-25,0.0,1
87,-25,0.0,1
88,-29,0.0,1
89,-25,0.0,1
90,-25,0.0,1
91,-25,0.0,1
92,-25,0.0,1
93,-29,0.0,1
94,-29,0.0,1
95,-29,0.0,1
96,-25,0.0,1
97,-25,0.0,1
98,-25,0.0,1
99,-25,0.0,1
100,-25,0.0,1
101,-27,0.0,1
102,-27,0.0,1
103,-25,0.0,1
104,-25,0.0,1
105,-25,0.0,1
106,-25,0.0,1
107,-25,0.0,1
108,-27,0.0,1
109,-27,0.0,1
110,-27,0.0,1
111,-27,0.0,1
112,-27,0.0,1
113,-27,0.0,1
114,-25,0.0,1
115,-25,0.0,1
116,-25,0.0,1
117,-25,0.0,1
118,-25,0.0,1
119,-25,0.0,1
120,-25,0.0,1
121,-25,0.0,1
122,-25,0.0,1
123,-25,0.0,1
124,-25,0.0,1
125,-25,0.0,1
126,-25,0.0,1
127,-25,0.0,1
128,-27,0.0,1
129,-27,0.0,1
130,-25,0.0,1
131,-25,0.0,1
132,-27,0.0,1
133,-25,0.0,1
134,-25,0.0,1
135,-25,0.0,1
136,-25,0.0,1
137,-25,0.0,1
138,-25,0.0,1
139,-25,0.0,1
140,-25,0.0,1
141,-25,0.0,1
142,-25,0.0,1
143,-25,0.0,1
144,-25,0.0,1
145,-25,0.0,1
146,-27,0.0,1
147,-27,0.0,1
148,-25,0.0,1
149,-25,0.0,1
150,-25,0.0,1
151,-25,0.0,1
152,-25,0.0,1
153,-25,0.0,1
154,-25,0.0,1
155,-25,0.0,1
156,-25,0.0,1
157,-25,0.0,1
158,-27,0.0,1
159,-27,0.0,1
160,-25,0.0,1
161,-25,0.0,1
162,-25,0.0,1
163,-25,0.0,1
164,-25,0.0,1
165,-27,0.0,1
166,-27,0.0,1
167,-27,0.0,1
168,-25,0.0,1
169,-25,0.0,1
170,-25,0.0,1
171,-25,0.0,1
172,-25,0.0,1
173,-25,0.0,1
174,-25,0.0,1
175,-25,0.0,1
176,-25,0.0,1
177,-25,0.0,1
178,-25,0.0,1
179,-27,0.0,1
180,-27,0.0,1
181,-25,0.0,1
182,-25,0.0,1
183,-27,0.0,1
184,-25,0.0,1
185,-25,0.0,1
186,-25,0.0,1
187,-25,0.0,1
188,-25,0.0,1
189,-25,0.0,1
190,-25,0.0,1
191,-27,0.0,1
192,-27,0.0,1
193,-25,0.0,1
194,-25,0.0,1
195,-25,0.0,1
196,-25,0.0,1
197,-25,0.0,1
198,-25,0.0,1
199,-27,0.0,1
200,-27,0.0,1
201,-27,0.0,1
202,-61,0.0,1
203,-60,0.0,1
204,-61,0.0,1
205,-60,0.0,1
206,-61,0.0,1
207,-65,0.0,1
208,-65,0.0,1
209,-65,0.0,1
210,-56,0.0,1
211,-56,0.0,1
212,-56,0.0,1
213,-56,0.0,1
214,-60,0.0,1
215,-60,0.0,1
216,-60,0.0,1
217,-65,0.0,1
218,-27,0.0,1
219,-27,0.0,1
220,-25,0.0,1
221,-25,0.0,1
222,-25,0.0,1
223,-25,0.0,1
224,-25,0.0,1
225,-25,0.0,1
226,-25,0.0,1
227,-25,0.0,1
228,-25,0.0,1
229,-25,0.0,1
230,-25,0.0,1
231,-25,0.0,1
232,-25,0.0,1
233,-25,0.0,1
234,-27,0.0,1
235,-28,0.0,1
236,-25,0.0,1
237,-25,0.0,1
238,-25,0.0,1
239,-25,0.0,1
240,-25,0.0,1
241,-25,0.0,1
242,-25,0.0,1
243,-25,0.0,1
244,-25,0.0,1
245,-25,0.0,1
246,-25,0.0,1
247,-25,0.0,1
248,-25,0.0,1
249,-25,0.0,1
250,-25,0.0,1
251,-25,0.0,1
252,-25,0.0,1
253,-25,0.0,1
254,-28,0.0,1
255,-27,0.0,1
256,-28,0.0,1
257,-25,0.0,1
258,-25,0.0,1
259,-25,0.0,1
260,-25,0.0,1
261,-25,0.0,1
262,-25,0.0,1
263,-25,0.0,1
264,-25,0.0,1
265,-28,0.0,1
266,-28,0.0,1
267,-28,0.0,1
268,-28,0.0,1
269,-28,0.0,1
270,-25,0.0,1
271,-25,0.0,1
272,-25,0.0,1
273,-25,0.0,1
274,-25,0.0,1
275,-25,0.0,1
276,-25,0.0,1
277,-25,0.0,1
278,-28,0.0,1
279,-28,0.0,1
280,-28,0.0,1
281,-28,0.0,1
282,-28,0.0,1
283,-27,0.0,1
